File Path,Label,Energy,Peak Amplitude,Zero-Crossing Rate,RMS,Temporal Centroid,Fundamental Frequency,Spectral Energy,Spectral Density,Spectral Flatness,Spectral Slope,Harmonic Ratio
all_sounds\pt-BR_O que há de novo__pt-BR_IsabelaVoice.wav,1,0.0097651174592711,0.73236084,0.095601075477451,0.09881861,0.5139301204569853,182.6927306114531,540634.6,0.43230775,0.22280987,-0.00016544221111080626,2893.046737538949
all_sounds\en-US_Good morning_en-US_AllisonVoice.wav,1,0.0119494032228551,0.63345337,0.045010183299389,0.109313324,0.2669145431652808,209.41020402796917,450597.9,0.33233708,0.31526223,-0.00014188822320763508,2496.155314182396
all_another_words_sounds\de-DE_Das Wetter ist fantastisch._de-DE_DieterVoice.wav,0,0.008177381364913,0.7839966,0.3619033226105917,0.090428874,0.7681595621274537,118.08465692203075,581839.6,0.7278505,0.20515667,-0.0001971724171016443,3539.625812374334
all_another_words_sounds\en-US_Let's meet for lunch._en-US_MichaelExpressive.wav,0,0.0109845484145964,0.55111694,0.2262863005050505,0.1048072,0.5384304183775491,136.65091837554382,427612.56,0.52024794,0.06667075,-0.00019003354822577103,4143.214485471647
all_another_words_sounds\en-US_Have you seen the latest movie__en-US_AllisonV3Voice.wav,0,0.0120265051736786,0.3819275,0.2330861244019138,0.10966542,0.7838094099926496,237.78167518976284,772208.75,0.38450322,0.03062936,-0.00011196499862625112,6101.730379713548
all_sounds\en-GB_Hey_en-GB_KateVoice.wav,1,0.0260848197135123,0.7041931,0.0699605855855855,0.16150795,0.2602723918993957,175.01560544883745,853882.1,0.711989,0.36063457,-0.0002723099726358611,1479.057530640485
all_sounds\ja-JP_どうも_ja-JP_EmiVoice.wav,1,0.0528331517796965,0.87145996,0.0504997369805365,0.22985463,0.2098349494488215,266.4329671950175,1542720.4,0.76557696,0.42529508,-0.0003106801122843058,1174.7090076144473
all_sounds\de-DE_Was gibt’s__de-DE_BirgitVoice.wav,1,0.0093225215542101,0.7637329,0.3685302685661838,0.09655321,0.2614425875010505,214.25276445960807,358843.25,0.5052184,0.33327705,-0.00011071461123524471,4975.760544007372
all_sounds\en-AU_How’s it going__en-AU_JackExpressive.wav,1,0.0335560092678317,0.9237671,0.1394074675324675,0.183183,0.4151966412513113,113.5781877856118,1016038.2,1.0419438,0.061015446,-0.0003923882564939664,1603.358240793732
all_another_words_sounds\de-DE_Wollen wir ins Kino gehen__de-DE_BirgitVoice.wav,0,0.0289642574025013,0.75338745,0.1428715951339184,0.17018889,0.5952750419530125,188.58285738676193,1759089.5,0.65136653,0.21434791,-0.0002428584599579777,2220.7878201963717
all_another_words_sounds\en-US_Have you seen the latest movie__en-US_MichaelVoice.wav,0,0.0104814126549302,0.5593262,0.130110497237569,0.10237877,0.7995027278669538,141.17667352660095,757646.06,0.46647075,0.18170321,-0.00016729683979934442,3026.1447133236356
all_sounds\en-US_How’s it going__en-US_LisaExpressive.wav,1,0.0252549268982627,0.7501526,0.1458925189393939,0.158918,0.3866590490276362,190.02319227876546,655424.0,0.83083874,0.016801814,-0.0003309172348330565,1986.5785717393942
all_sounds\en-AU_G’day_en-AU_JackExpressive.wav,1,0.0105474774654094,0.8171997,0.1274038461538461,0.10270091,0.271078893506476,107.48070847195787,215679.28,0.5642778,0.16426916,-0.0002054438708926477,3179.281654358554
all_sounds\en-US_Good morning_en-US_EmilyV3Voice.wav,1,0.0064923387290374,0.47335815,0.1082560296846011,0.08057505,0.2617282981794445,184.8189693127368,215002.36,0.3243729,0.014339649,-0.00014070431562206043,4765.154630853212
all_another_words_sounds\en-US_I'm working from home._en-US_MichaelVoice.wav,0,0.0077945295784469,0.6135864,0.0758414875606186,0.08828663,0.4956061396021372,126.67689818578366,417226.06,0.38813022,0.23663734,-0.00017132327491731743,2095.399164511753
all_sounds\nl-NL_Welterusten_nl-NL_MerelV3Voice.wav,1,0.0141172348134933,0.69003296,0.224078624078624,0.118815966,0.3141964697005374,187.33305092561437,352757.6,0.52219796,0.020924415,-0.00018445206147991804,3855.865872511752
all_sounds\en-GB_Good morning_en-GB_KateVoice.wav,1,0.0487462166982258,0.99975586,0.0390592708936099,0.22078545,0.3289703817348807,202.32374246646827,1811508.8,0.65666187,0.3339924,-0.00029193168970333524,1052.94397495567
all_sounds\en-AU_Good evening_en-AU_JackExpressive.wav,1,0.0399360407644243,0.9283447,0.1041277985074626,0.19984004,0.3223835969640011,124.09054314444762,1052181.4,0.89740986,0.098713316,-0.0003297027781501003,1948.185337082121
all_another_words_sounds\de-DE_Was gibt's zum Abendessen__de-DE_DieterVoice.wav,0,0.0085101843116215,0.7680969,0.3022720426868626,0.09225066,0.7712154799449203,83.0410227731798,607603.3,0.64383113,0.1844569,-0.00019248470286199873,3414.450741163337
all_sounds\nl-NL_Alles goed__nl-NL_MerelV3Voice.wav,1,0.0079572472106728,0.6064453,0.2069444444444444,0.0892034,0.3074982567500673,173.57068768313943,290404.7,0.3118237,0.056172907,-9.155782116708992e-05,8787.0996609713
