File Path,Label,Energy,Peak Amplitude,Zero-Crossing Rate,RMS,Temporal Centroid
all_sounds\pt-BR_O que há de novo__pt-BR_IsabelaVoice.wav,1,0.009765117459271142,0.73236084,0.095601075477451,0.09881861,0.5139301204569853
all_sounds\en-US_Good morning_en-US_AllisonVoice.wav,1,0.011949403222855143,0.63345337,0.045010183299389,0.109313324,0.2669145431652808
all_another_words_sounds\de-DE_Das Wetter ist fantastisch._de-DE_DieterVoice.wav,0,0.00817738136491302,0.7839966,0.36190332261059177,0.090428874,0.7681595621274537
all_another_words_sounds\en-US_Let's meet for lunch._en-US_MichaelExpressive.wav,0,0.010984548414596404,0.55111694,0.2262863005050505,0.1048072,0.5384304183775491
all_another_words_sounds\en-US_Have you seen the latest movie__en-US_AllisonV3Voice.wav,0,0.012026505173678604,0.3819275,0.23308612440191387,0.10966542,0.7838094099926496
all_sounds\en-GB_Hey_en-GB_KateVoice.wav,1,0.02608481971351234,0.7041931,0.06996058558558559,0.16150795,0.26027239189939577
all_sounds\ja-JP_どうも_ja-JP_EmiVoice.wav,1,0.05283315177969654,0.87145996,0.05049973698053656,0.22985463,0.20983494944882158
all_sounds\de-DE_Was gibt’s__de-DE_BirgitVoice.wav,1,0.009322521554210188,0.7637329,0.3685302685661838,0.09655321,0.2614425875010505
all_sounds\en-AU_How’s it going__en-AU_JackExpressive.wav,1,0.033556009267831775,0.9237671,0.13940746753246752,0.183183,0.4151966412513113
all_another_words_sounds\de-DE_Wollen wir ins Kino gehen__de-DE_BirgitVoice.wav,0,0.028964257402501328,0.75338745,0.14287159513391842,0.17018889,0.5952750419530125
all_another_words_sounds\en-US_Have you seen the latest movie__en-US_MichaelVoice.wav,0,0.010481412654930208,0.5593262,0.13011049723756907,0.10237877,0.7995027278669538
all_sounds\en-US_How’s it going__en-US_LisaExpressive.wav,1,0.025254926898262718,0.7501526,0.14589251893939395,0.158918,0.3866590490276362
all_sounds\en-AU_G’day_en-AU_JackExpressive.wav,1,0.010547477465409499,0.8171997,0.12740384615384615,0.10270091,0.27107889350647607
all_sounds\en-US_Good morning_en-US_EmilyV3Voice.wav,1,0.0064923387290374245,0.47335815,0.10825602968460112,0.08057505,0.26172829817944454
all_another_words_sounds\en-US_I'm working from home._en-US_MichaelVoice.wav,0,0.007794529578446925,0.6135864,0.07584148756061868,0.08828663,0.49560613960213723
all_sounds\nl-NL_Welterusten_nl-NL_MerelV3Voice.wav,1,0.014117234813493359,0.69003296,0.22407862407862408,0.118815966,0.3141964697005374
all_sounds\en-GB_Good morning_en-GB_KateVoice.wav,1,0.0487462166982258,0.99975586,0.039059270893609985,0.22078545,0.32897038173488075
all_sounds\en-AU_Good evening_en-AU_JackExpressive.wav,1,0.039936040764424335,0.9283447,0.10412779850746269,0.19984004,0.32238359696400115
all_another_words_sounds\de-DE_Was gibt's zum Abendessen__de-DE_DieterVoice.wav,0,0.00851018431162156,0.7680969,0.3022720426868626,0.09225066,0.7712154799449203
all_sounds\nl-NL_Alles goed__nl-NL_MerelV3Voice.wav,1,0.00795724721067281,0.6064453,0.20694444444444443,0.0892034,0.30749825675006737
all_sounds\de-DE_Guten Abend_de-DE_DieterVoice.wav,1,0.00848895959885227,0.7645874,0.11121405277201304,0.09213555,0.3488880299284042
all_another_words_sounds\fr-FR_Quel temps fait-il aujourd'hui__fr-FR_NicolasV3Voice.wav,0,0.008773792090726887,0.60705566,0.16104236078058068,0.09366853,0.8961045466437397
all_another_words_sounds\fr-FR_Le film était incroyable._fr-FR_ReneeV3Voice.wav,0,0.010006554815554722,0.40847778,0.1740599714421704,0.10003277,0.6896470572997031
all_sounds\en-US_Good evening_en-US_AllisonVoice.wav,1,0.014274662048570029,0.7466736,0.0539451305183761,0.11947662,0.3609415961356653
all_sounds\pt-BR_Bom dia_pt-BR_IsabelaVoice.wav,1,0.01903378658537808,0.7159729,0.057019419967490804,0.13796298,0.2438842066241445
all_another_words_sounds\en-GB_I fancy a cuppa._en-GB_CharlotteV3Voice.wav,0,0.006973752555959036,0.5100708,0.2975953079178886,0.083509,0.5571171906548391
all_another_words_sounds\fr-FR_J'ai regardé la télé hier soir._fr-FR_ReneeV3Voice.wav,0,0.011294271117879517,0.44677734,0.18156565656565657,0.10627451,0.8215458916651902
all_another_words_sounds\ko-KR_주말에 뭐 할 거야__ko-KR_JinV3Voice.wav,0,0.002728753894954533,0.31469727,0.10229978354978354,0.052237477,0.4903272330114671
all_sounds\en-US_Good morning_en-US_MichaelExpressive.wav,1,0.01605685160193645,0.54867554,0.05892385563380282,0.12671563,0.37641723597962023
all_sounds\pt-BR_Oi_pt-BR_IsabelaV3Voice.wav,1,0.004491777212457987,0.34075928,0.0412291933418694,0.06702072,0.1627901975450453
all_another_words_sounds\de-DE_Wie war dein Tag_ _de-DE_BirgitV2Voice.wav,0,0.010407126970297467,0.63720703,0.16396814863968148,0.102015324,0.38984305410752385
all_sounds\de-DE_Grüß Gott_de-DE_BirgitVoice.wav,1,0.014975020637118584,0.7510376,0.2055810800632673,0.12237246,0.3467453716812199
all_another_words_sounds\fr-CA_Il fait froid aujourd'hui._fr-CA_LouiseV3Voice.wav,0,0.0057232781612511835,0.5588989,0.19555555555555557,0.07565235,0.6624873584952206
all_sounds\en-US_Good morning_en-US_AllisonV3Voice.wav,1,0.013914448008456733,0.48703003,0.09835076427996782,0.11795952,0.36855105596835314
all_sounds\de-DE_Hi_de-DE_DieterVoice.wav,1,0.0020245982169259467,0.35668945,0.11914342221919116,0.044995535,0.13647218217840265
all_sounds\de-DE_Guten Nacht_de-DE_DieterVoice.wav,1,0.007163578608208149,0.75961304,0.14387238808852498,0.084637925,0.2551451619339573
